Indexes referenced by this run (116 total):
name                                                       size on disk  download size  path                                                                                                                                                     
    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-trec-covid.flat -topics beir-trec-covid -output runs/run.beir.core.flat.trec-covid.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-trec-covid.test runs/run.beir.core.flat.trec-covid.txt


  - topic_key: bioasq

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-bioasq.flat -topics beir-bioasq -output runs/run.beir.core.flat.bioasq.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-bioasq.test runs/run.beir.core.flat.bioasq.txt


  - topic_key: nfcorpus

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-nfcorpus.flat -topics beir-nfcorpus -output runs/run.beir.core.flat.nfcorpus.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-nfcorpus.test runs/run.beir.core.flat.nfcorpus.txt


  - topic_key: nq

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-nq.flat -topics beir-nq -output runs/run.beir.core.flat.nq.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-nq.test runs/run.beir.core.flat.nq.txt


  - topic_key: hotpotqa

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-hotpotqa.flat -topics beir-hotpotqa -output runs/run.beir.core.flat.hotpotqa.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-hotpotqa.test runs/run.beir.core.flat.hotpotqa.txt


  - topic_key: fiqa

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-fiqa.flat -topics beir-fiqa -output runs/run.beir.core.flat.fiqa.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-fiqa.test runs/run.beir.core.flat.fiqa.txt


  - topic_key: signal1m

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-signal1m.flat -topics beir-signal1m -output runs/run.beir.core.flat.signal1m.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-signal1m.test runs/run.beir.core.flat.signal1m.txt


  - topic_key: trec-news

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-trec-news.flat -topics beir-trec-news -output runs/run.beir.core.flat.trec-news.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-trec-news.test runs/run.beir.core.flat.trec-news.txt


  - topic_key: robust04

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-robust04.flat -topics beir-robust04 -output runs/run.beir.core.flat.robust04.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-robust04.test runs/run.beir.core.flat.robust04.txt


  - topic_key: arguana

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-arguana.flat -topics beir-arguana -output runs/run.beir.core.flat.arguana.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-arguana.test runs/run.beir.core.flat.arguana.txt


  - topic_key: webis-touche2020

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-webis-touche2020.flat -topics beir-webis-touche2020 -output runs/run.beir.core.flat.webis-touche2020.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-webis-touche2020.test runs/run.beir.core.flat.webis-touche2020.txt


  - topic_key: cqadupstack-android

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-android.flat -topics beir-cqadupstack-android -output runs/run.beir.core.flat.cqadupstack-android.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-android.test runs/run.beir.core.flat.cqadupstack-android.txt


  - topic_key: cqadupstack-english

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-english.flat -topics beir-cqadupstack-english -output runs/run.beir.core.flat.cqadupstack-english.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-english.test runs/run.beir.core.flat.cqadupstack-english.txt


  - topic_key: cqadupstack-gaming

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-gaming.flat -topics beir-cqadupstack-gaming -output runs/run.beir.core.flat.cqadupstack-gaming.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-gaming.test runs/run.beir.core.flat.cqadupstack-gaming.txt


  - topic_key: cqadupstack-gis

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-gis.flat -topics beir-cqadupstack-gis -output runs/run.beir.core.flat.cqadupstack-gis.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-gis.test runs/run.beir.core.flat.cqadupstack-gis.txt


  - topic_key: cqadupstack-mathematica

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-mathematica.flat -topics beir-cqadupstack-mathematica -output runs/run.beir.core.flat.cqadupstack-mathematica.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-mathematica.test runs/run.beir.core.flat.cqadupstack-mathematica.txt


  - topic_key: cqadupstack-physics

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-physics.flat -topics beir-cqadupstack-physics -output runs/run.beir.core.flat.cqadupstack-physics.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-physics.test runs/run.beir.core.flat.cqadupstack-physics.txt


  - topic_key: cqadupstack-programmers

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-programmers.flat -topics beir-cqadupstack-programmers -output runs/run.beir.core.flat.cqadupstack-programmers.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-programmers.test runs/run.beir.core.flat.cqadupstack-programmers.txt


  - topic_key: cqadupstack-stats

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-stats.flat -topics beir-cqadupstack-stats -output runs/run.beir.core.flat.cqadupstack-stats.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-stats.test runs/run.beir.core.flat.cqadupstack-stats.txt


  - topic_key: cqadupstack-tex

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-tex.flat -topics beir-cqadupstack-tex -output runs/run.beir.core.flat.cqadupstack-tex.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-tex.test runs/run.beir.core.flat.cqadupstack-tex.txt


  - topic_key: cqadupstack-unix

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-unix.flat -topics beir-cqadupstack-unix -output runs/run.beir.core.flat.cqadupstack-unix.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-unix.test runs/run.beir.core.flat.cqadupstack-unix.txt


  - topic_key: cqadupstack-webmasters

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-webmasters.flat -topics beir-cqadupstack-webmasters -output runs/run.beir.core.flat.cqadupstack-webmasters.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-webmasters.test runs/run.beir.core.flat.cqadupstack-webmasters.txt


  - topic_key: cqadupstack-wordpress

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-cqadupstack-wordpress.flat -topics beir-cqadupstack-wordpress -output runs/run.beir.core.flat.cqadupstack-wordpress.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-cqadupstack-wordpress.test runs/run.beir.core.flat.cqadupstack-wordpress.txt


  - topic_key: quora

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-quora.flat -topics beir-quora -output runs/run.beir.core.flat.quora.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-quora.test runs/run.beir.core.flat.quora.txt


  - topic_key: dbpedia-entity

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-dbpedia-entity.flat -topics beir-dbpedia-entity -output runs/run.beir.core.flat.dbpedia-entity.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-dbpedia-entity.test runs/run.beir.core.flat.dbpedia-entity.txt


  - topic_key: scidocs

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-scidocs.flat -topics beir-scidocs -output runs/run.beir.core.flat.scidocs.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-scidocs.test runs/run.beir.core.flat.scidocs.txt


  - topic_key: fever

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-fever.flat -topics beir-fever -output runs/run.beir.core.flat.fever.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-fever.test runs/run.beir.core.flat.fever.txt


  - topic_key: climate-fever

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-climate-fever.flat -topics beir-climate-fever -output runs/run.beir.core.flat.climate-fever.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-climate-fever.test runs/run.beir.core.flat.climate-fever.txt


  - topic_key: scifact

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-scifact.flat -topics beir-scifact -output runs/run.beir.core.flat.scifact.txt -bm25 -removeQuery
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-scifact.test runs/run.beir.core.flat.scifact.txt


# Running condition "multifield": BM25, multifield bag-of-words baseline 

  - topic_key: trec-covid

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-trec-covid.multifield -topics beir-trec-covid -output runs/run.beir.core.multifield.trec-covid.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-trec-covid.test runs/run.beir.core.multifield.trec-covid.txt


  - topic_key: bioasq

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-bioasq.multifield -topics beir-bioasq -output runs/run.beir.core.multifield.bioasq.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-bioasq.test runs/run.beir.core.multifield.bioasq.txt


  - topic_key: nfcorpus

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-nfcorpus.multifield -topics beir-nfcorpus -output runs/run.beir.core.multifield.nfcorpus.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-nfcorpus.test runs/run.beir.core.multifield.nfcorpus.txt


  - topic_key: nq

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-nq.multifield -topics beir-nq -output runs/run.beir.core.multifield.nq.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-nq.test runs/run.beir.core.multifield.nq.txt


  - topic_key: hotpotqa

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-hotpotqa.multifield -topics beir-hotpotqa -output runs/run.beir.core.multifield.hotpotqa.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-hotpotqa.test runs/run.beir.core.multifield.hotpotqa.txt


  - topic_key: fiqa

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-fiqa.multifield -topics beir-fiqa -output runs/run.beir.core.multifield.fiqa.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-fiqa.test runs/run.beir.core.multifield.fiqa.txt


  - topic_key: signal1m

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-signal1m.multifield -topics beir-signal1m -output runs/run.beir.core.multifield.signal1m.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-signal1m.test runs/run.beir.core.multifield.signal1m.txt


  - topic_key: trec-news

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-trec-news.multifield -topics beir-trec-news -output runs/run.beir.core.multifield.trec-news.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-trec-news.test runs/run.beir.core.multifield.trec-news.txt


  - topic_key: robust04

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-robust04.multifield -topics beir-robust04 -output runs/run.beir.core.multifield.robust04.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-robust04.test runs/run.beir.core.multifield.robust04.txt


  - topic_key: arguana

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-arguana.multifield -topics beir-arguana -output runs/run.beir.core.multifield.arguana.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-arguana.test runs/run.beir.core.multifield.arguana.txt


  - topic_key: webis-touche2020

    Retrieval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar -Xms512M -Xmx192G -Dslf4j.internal.verbosity=WARN --add-modules jdk.incubator.vector io.anserini.search.SearchCollection -threads 16 -index beir-v1.0.0-webis-touche2020.multifield -topics beir-webis-touche2020 -output runs/run.beir.core.multifield.webis-touche2020.txt -bm25 -removeQuery -fields contents=1.0 title=1.0
    Eval command: java -cp /Users/lily/dev/pi-bench/anserini-nfcorpus/gemini-workspace/anserini-2.1.1-fatjar.jar trec_eval -c -m ndcg_cut.10 beir-v1.0.0-webis-touche2020.test runs/run.beir.core.multifield.webis-touche2020.txt


  - topic_key: cqadupstack-android

